"","pid","treat","treat_drop","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","klassenstufe"
"34","b101",0,0,8,1,1,1,44,43,32,32,41,39,11,11,36,38,7,4,39,0,9,1,1,4,42,41,36,36,39,38,14,14,34,33,8,5,37,0,3
"35","b102",0,1,8,1,1,2,56,57,48,46,56,54,20,20,41,44,10,6,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"36","b103",0,0,8,1,1,2,35,34,22,22,36,36,9,8,39,38,7,5,35,0,9,1,1,2,37,36,30,30,38,36,13,13,38,42,12,7,36,0,3
"37","b104",0,0,8,1,1,2,50,50,40,39,48,46,15,15,41,44,10,6,46,0,9,1,1,2,51,52,49,47,55,57,26,24,34,59,22,5,46,0,3
"38","b105",0,0,8,1,1,2,61,61,52,52,58,56,21,21,46,52,15,8,56,0,9,1,1,2,56,56,53,53,57,55,25,25,46,59,22,11,53,0,3
"39","b106",1,0,8,1,1,2,42,45,34,30,33,34,8,6,39,40,8,5,36,0,9,1,1,2,45,49,45,40,42,42,17,16,38,49,16,7,41,0,3
"40","b107",0,0,8,1,2,1,49,48,38,38,54,53,19,19,41,49,13,6,48,0,9,1,2,1,50,50,46,46,58,57,26,26,44,52,18,10,51,0,3
"41","b108",1,0,8,3,1,2,37,35,24,24,35,33,7,7,33,25,4,3,33,0,9,2,1,2,42,41,36,36,39,38,14,14,26,33,8,2,34,0,3
"42","b109",0,0,8,1,1,2,48,47,36,36,48,46,15,15,43,51,14,7,46,0,8,1,1,2,43,43,38,38,45,45,19,18,36,38,10,6,40,0,3
"43","b110",1,0,8,1,1,2,43,43,32,31,48,46,15,15,43,47,12,7,44,0,9,1,1,2,40,41,36,34,48,47,20,20,44,50,17,10,43,0,3
"44","b111",0,0,8,1,1,2,39,38,27,26,41,39,11,11,39,46,11,5,38,0,9,1,1,2,38,38,33,32,36,36,13,12,36,42,12,6,35,0,3
"45","b112",1,1,9,1,1,2,48,48,37,36,35,34,8,7,41,54,16,6,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"46","b113",0,0,8,1,1,2,44,43,32,32,48,46,15,15,41,40,8,6,44,0,9,2,1,2,48,49,45,43,45,44,18,18,34,40,11,5,41,0,3
"47","b114",0,0,8,1,1,1,31,29,18,18,41,39,11,11,39,42,9,5,35,0,8,1,1,1,40,40,35,34,45,44,18,18,42,45,14,9,41,0,3
"48","b115",0,0,8,1,1,2,51,51,41,40,43,41,12,12,39,42,9,5,44,0,9,1,1,2,54,53,50,50,44,42,17,17,25,25,0,0,40,1,3
"49","b116",0,0,8,1,2,2,37,35,24,24,46,45,14,14,41,46,11,6,40,0,9,1,1,2,45,44,40,40,47,45,19,19,40,47,15,8,43,0,3
"50","b201",1,0,8,2,NA,NA,29,31,19,16,31,31,6,5,39,38,7,5,31,0,8,2,1,NA,43,43,38,37,41,39,15,15,34,38,10,5,38,0,3
"51","b202",0,0,8,1,1,2,31,34,23,18,38,39,11,9,41,62,21,6,35,0,8,3,1,2,53,55,52,49,44,50,22,17,36,57,21,6,44,0,3
"52","b203",0,0,8,3,1,2,37,36,25,24,46,45,14,14,48,52,15,9,43,0,9,3,2,2,45,44,40,40,55,54,24,24,44,54,19,10,48,0,3
"53","b204",0,0,8,1,1,1,38,37,26,25,46,46,15,14,39,47,12,5,40,0,9,1,1,1,50,50,47,46,47,47,20,19,40,47,15,8,45,0,3
"54","b205",0,0,8,1,2,1,36,35,24,23,54,53,19,19,41,51,14,6,43,0,9,1,1,1,55,56,53,52,57,55,25,25,44,50,17,10,52,0,3
"55","b206",0,0,8,1,1,1,42,43,32,30,56,54,20,20,48,55,17,9,48,0,9,1,1,1,58,59,57,55,58,57,26,26,42,52,18,9,53,0,3
"56","b207",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,1,50,51,48,46,48,50,22,20,42,49,16,9,46,0,3
"57","b208",1,0,9,3,3,1,25,25,9,8,26,25,2,2,25,25,1,1,25,0,10,3,3,1,31,30,24,24,31,31,9,8,36,31,7,6,30,0,3
"58","b209",0,0,8,1,1,1,32,32,20,19,48,46,15,15,46,52,15,8,41,0,9,2,1,3,50,51,48,46,47,47,20,19,42,52,18,9,46,0,3
"59","b210",1,0,8,1,1,1,29,32,20,16,30,31,6,4,33,47,12,3,28,0,NA,NA,NA,NA,36,36,30,29,38,38,14,13,36,42,12,6,35,0,3
"60","b211",0,0,8,1,1,1,41,42,31,29,61,59,23,23,46,51,14,8,49,0,8,1,1,1,52,51,48,48,55,54,24,24,44,52,18,10,50,0,3
"61","b212",0,0,8,3,2,1,43,43,32,31,54,54,20,19,43,49,13,7,46,0,9,3,2,1,60,60,58,57,55,55,25,24,44,52,18,10,53,0,3
