"","pid","treat","treat_drop","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","klassenstufe"
"95","d112",0,0,8,1,2,2,48,47,36,36,53,51,18,18,41,55,17,6,47,0,9,1,2,2,51,51,48,47,39,41,16,14,38,52,18,7,42,0,3
"96","d113",1,0,NA,1,1,2,40,38,27,27,31,29,5,5,41,44,10,6,36,0,9,1,1,2,41,41,36,35,38,36,13,13,36,33,8,6,37,0,3
"97","d114",0,0,9,1,1,2,72,72,65,65,65,64,26,26,56,69,26,13,66,0,9,1,1,NA,71,71,70,70,69,68,32,32,48,67,26,12,64,0,3
"98","d115",1,0,8,1,1,2,36,34,23,23,38,38,10,9,36,35,6,4,35,0,9,1,1,2,33,32,26,26,41,39,15,15,38,44,13,7,36,0,3
"99","d116",0,0,8,1,1,1,45,44,33,33,43,41,12,12,41,46,11,6,42,0,9,1,1,1,52,51,48,48,42,41,16,16,34,40,11,5,42,0,3
"100","d117",0,0,8,3,2,2,48,47,36,36,41,39,11,11,39,42,9,5,42,0,9,2,2,2,50,50,46,46,41,39,15,15,36,40,11,6,41,0,3
"101","d118",0,0,NA,1,1,2,48,48,37,36,43,43,13,12,41,46,11,6,43,0,10,2,1,2,47,46,42,42,42,41,16,16,40,50,17,8,42,0,3
"102","d201",0,1,10,3,3,2,27,26,15,14,30,29,5,4,33,35,6,3,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"103","d203",0,0,8,1,1,2,49,48,38,38,43,41,12,12,41,44,10,6,44,0,9,1,1,2,48,47,43,43,42,41,16,16,36,40,11,6,41,0,3
"104","d204",0,0,8,2,1,2,57,56,47,47,58,56,21,21,46,63,22,8,54,0,9,2,1,2,61,61,59,59,50,64,30,21,42,59,22,9,51,0,3
"105","d205",0,0,8,3,2,2,55,54,44,44,53,51,18,18,41,42,9,6,50,0,8,3,2,2,52,51,48,48,45,45,19,18,38,42,12,7,44,0,3
"106","d206",0,0,8,1,1,2,48,47,36,36,40,38,10,10,39,38,7,5,41,0,9,1,1,2,46,45,41,41,45,44,18,18,38,44,13,7,42,0,3
"107","d207",0,0,8,1,1,2,46,46,35,34,41,39,11,11,39,40,8,5,41,0,9,1,1,2,53,53,50,49,41,39,15,15,36,40,11,6,42,0,3
"108","d208",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,2,48,48,44,44,45,47,20,18,42,50,17,9,44,0,3
"109","d210",1,0,9,1,1,2,36,36,25,23,35,36,9,7,33,32,5,3,33,0,9,1,1,2,35,36,30,28,32,34,11,9,32,33,8,4,31,0,3
"110","d211",0,0,8,1,1,2,48,47,36,36,45,43,13,13,41,47,12,6,44,0,9,1,1,2,52,51,48,48,47,45,19,19,40,52,18,8,46,0,3
"111","d212",1,0,9,2,1,NA,49,48,38,37,46,46,15,14,41,44,10,6,45,0,10,1,1,2,45,45,41,40,41,39,15,15,34,36,9,5,39,0,3
"112","d213",0,0,9,1,1,2,35,34,22,22,45,45,14,13,43,47,12,7,40,0,10,1,1,2,48,47,43,43,47,47,20,19,42,50,17,9,45,0,3
"113","d214",0,0,8,1,1,2,50,52,42,39,56,54,20,20,50,55,17,10,52,0,9,1,1,2,58,57,55,55,50,49,21,21,44,52,18,10,51,0,3
"114","d215",0,0,8,1,1,1,49,48,38,38,48,46,15,15,39,38,7,5,45,0,9,1,1,1,52,51,48,48,44,44,18,17,42,49,16,9,45,0,3
"115","d216",1,0,8,1,2,1,40,40,29,28,40,41,12,10,30,38,7,2,35,0,9,2,2,1,48,48,44,44,38,38,14,13,36,40,11,6,39,0,3
"116","d217",0,0,9,NA,2,1,42,41,30,30,54,54,20,19,46,51,14,8,47,0,9,1,2,1,42,41,36,36,48,47,20,20,42,50,17,9,43,0,3
"117","d218",1,1,8,2,2,1,46,45,34,34,40,39,11,10,41,47,12,6,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"118","d219",0,0,8,1,1,1,49,48,38,38,56,54,20,20,41,47,12,6,48,0,9,1,1,1,47,46,42,42,53,52,23,23,40,45,14,8,46,0,3
"119","d220",0,0,8,2,2,1,46,45,34,34,46,45,14,14,39,42,9,5,43,0,8,2,2,1,49,49,45,45,53,52,23,23,38,45,14,7,46,0,3
"120","d301",0,0,8,1,1,1,45,45,34,33,48,46,15,15,46,51,14,8,46,0,9,1,1,1,52,51,48,48,50,49,21,21,40,50,17,8,47,0,3
"121","d302",1,0,9,3,3,2,45,47,36,33,36,34,8,8,36,35,6,4,38,0,9,3,2,NA,43,43,38,38,35,34,11,11,34,31,7,5,36,0,3
"122","d303",0,0,8,2,2,2,55,55,45,45,51,54,20,17,43,54,16,7,50,0,9,3,2,2,43,43,38,38,44,44,18,17,40,49,16,8,41,0,3
"123","d304",1,0,8,1,1,2,38,38,27,25,35,34,8,7,33,52,15,3,33,0,9,1,1,2,41,41,36,35,38,36,13,13,36,40,11,6,37,0,3
"124","d305",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,2,2,48,48,44,44,41,42,17,15,38,42,12,7,41,0,3
"125","d306",0,0,8,1,1,2,48,48,37,36,53,51,18,18,36,42,9,4,45,0,9,1,1,2,45,44,40,40,50,50,22,21,40,45,14,8,44,0,3
"126","d307",0,0,8,3,2,1,49,48,38,38,49,50,17,16,46,47,12,8,48,0,8,2,2,1,55,56,54,52,57,57,26,25,40,49,16,8,51,0,3
"127","d308",0,0,8,1,1,2,52,53,43,41,43,41,12,12,39,38,7,5,44,0,8,1,1,2,54,53,50,50,50,49,21,21,40,50,17,8,48,0,3
"128","d309",0,0,8,3,2,1,58,57,48,48,56,54,20,20,48,54,16,9,54,0,NA,NA,NA,NA,54,53,50,50,53,52,23,23,38,45,14,7,48,0,3
"129","d310",1,0,8,2,2,2,46,45,34,34,46,45,14,14,36,42,9,4,42,0,8,1,1,2,47,46,42,42,48,47,20,20,36,42,12,6,43,0,3
"130","d311",1,0,8,2,1,2,47,46,35,35,41,39,11,11,41,49,13,6,42,0,9,2,3,2,49,49,45,45,47,45,19,19,40,61,23,8,45,0,3
"131","d312",0,0,9,2,1,2,57,56,47,47,51,50,17,17,43,47,12,7,50,0,10,2,1,2,58,57,55,55,55,54,24,24,38,49,16,7,50,0,3
"132","d313",0,0,8,3,2,1,60,60,51,51,62,62,25,24,50,63,22,10,58,0,9,3,2,1,56,56,54,53,58,57,26,26,40,55,20,8,51,0,3
"133","d314",1,0,8,1,1,1,47,46,35,35,41,43,13,11,43,49,13,7,43,0,9,2,1,1,48,48,44,44,44,44,18,17,42,49,16,9,44,0,3
"134","d315",0,0,8,3,2,1,58,57,48,48,61,59,23,23,41,52,15,6,54,0,NA,NA,NA,NA,61,62,60,59,62,64,30,28,44,59,22,10,56,0,3
"135","d316",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,1,2,48,48,44,44,47,49,21,19,34,47,15,5,42,0,3
"136","d317",0,0,9,2,2,1,46,46,35,34,41,41,12,11,46,47,12,8,44,0,9,3,2,1,47,47,43,42,39,39,15,14,36,45,14,6,39,0,3
"137","d401",1,0,9,3,2,2,37,35,24,24,36,36,9,8,33,35,6,3,33,0,10,3,3,2,37,37,31,31,39,38,14,14,34,47,15,5,35,0,3
"138","d402",0,0,9,3,2,NA,46,47,36,34,45,43,13,13,39,40,8,5,42,0,10,3,2,2,46,45,41,41,45,44,18,18,42,49,16,9,44,0,3
