"","pid","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","treat","treat_drop","Uni","klassenstufe"
"123","d712",8,1,1,1,38,36,25,25,43,41,12,12,39,38,7,5,39,0,9,1,1,1,47,47,43,42,44,42,17,17,38,47,15,7,42,0,0,0,"ka",3
"124","d713",9,1,1,1,56,56,46,46,49,50,17,16,46,52,15,8,50,0,9,1,2,1,60,60,58,58,58,57,26,26,44,59,22,10,54,0,0,0,"ka",3
"125","d714",8,1,1,1,47,47,36,35,51,50,17,17,46,51,14,8,48,0,8,1,1,1,52,51,48,48,60,59,27,27,46,59,22,11,53,0,0,0,"ka",3
"126","d715",8,1,1,2,52,51,41,41,41,41,12,11,41,44,10,6,44,0,9,1,1,2,50,50,47,46,44,42,17,17,36,42,12,6,42,0,0,0,"ka",3
"127","d716",8,2,2,1,59,59,50,49,62,61,24,24,48,55,17,9,57,0,9,2,2,1,60,60,58,58,57,55,25,25,42,50,17,9,53,0,0,0,"ka",3
"128","d717",9,1,2,1,40,39,28,28,36,36,9,8,36,44,10,4,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ka",3
"129","d801",8,1,1,NA,55,55,45,44,51,50,17,17,41,46,11,6,49,0,9,1,1,2,63,64,62,61,53,52,23,23,38,47,15,7,51,0,0,0,"ka",3
"130","d802",8,1,2,2,40,38,27,27,43,41,12,12,39,38,7,5,39,0,9,3,2,2,50,50,46,46,42,42,17,16,40,45,14,8,43,0,1,0,"ka",3
"131","d803",9,2,2,1,55,54,44,44,51,50,17,17,46,51,14,8,51,0,9,2,2,1,61,61,59,59,64,62,29,29,50,65,25,13,59,0,0,0,"ka",3
"132","d804",9,3,2,2,49,48,37,37,48,48,16,15,48,51,14,9,48,0,9,3,2,2,59,58,56,56,57,55,25,25,42,52,18,9,53,0,0,0,"ka",3
"133","d805",9,2,1,1,44,44,33,32,49,48,16,16,46,51,14,8,46,0,9,2,2,1,54,54,51,50,58,59,27,26,44,57,21,10,52,0,0,0,"ka",3
"134","d806",8,1,1,1,54,53,43,43,38,36,9,9,46,51,14,8,45,0,9,1,1,1,55,55,52,52,57,57,26,25,42,52,18,9,51,0,0,0,"ka",3
"135","d807",9,3,2,1,43,46,35,31,45,45,14,13,33,42,9,3,39,0,10,2,2,1,48,48,44,44,45,44,18,18,40,45,14,8,44,0,1,0,"ka",3
"136","d808",8,2,1,2,50,49,39,39,56,54,20,20,46,54,16,8,51,0,9,2,1,2,58,57,55,55,60,61,28,27,46,57,21,11,55,0,0,0,"ka",3
"137","d809",8,2,1,1,55,55,45,45,49,50,17,16,48,57,18,9,51,0,8,2,1,1,55,55,52,52,53,54,24,23,44,54,19,10,51,0,0,0,"ka",3
"138","d810",8,1,1,4,63,62,54,54,58,56,21,21,54,63,22,12,59,0,9,1,1,1,65,64,63,63,58,64,30,26,51,67,26,14,59,0,0,0,"ka",3
"139","d811",8,2,1,2,51,50,40,40,51,53,19,17,43,54,16,7,48,0,9,2,1,2,54,53,50,50,53,55,25,23,42,52,18,9,50,0,0,0,"ka",3
"140","d812",8,1,1,1,36,34,23,23,35,34,8,7,36,35,6,4,34,0,9,1,1,4,48,47,43,43,45,44,18,18,38,42,12,7,43,0,1,0,"ka",3
"141","d814",8,1,1,2,46,45,34,34,46,45,14,14,43,47,12,7,44,0,9,1,1,2,51,50,47,47,53,52,23,23,40,49,16,8,48,0,0,0,"ka",3
"142","d815",9,1,1,2,53,52,42,42,41,39,11,11,41,46,11,6,44,0,9,1,1,2,41,41,36,35,45,44,18,18,40,47,15,8,41,0,0,0,"ka",3
"143","d816",8,3,2,1,55,54,44,44,62,61,24,24,54,63,22,12,58,0,9,3,2,1,54,55,52,51,60,59,27,27,50,63,24,13,55,0,0,0,"ka",3
"144","d817",8,1,1,1,43,43,32,31,41,39,11,11,39,42,9,5,40,0,9,1,1,1,51,52,49,47,44,44,18,17,38,47,15,7,44,0,1,0,"ka",3
"145","d818",8,1,2,1,63,62,54,54,61,61,24,23,43,54,16,7,56,0,9,2,1,1,52,52,49,48,66,64,30,30,46,57,21,11,55,0,0,0,"ka",3
"146","d819",9,3,2,1,62,62,53,53,59,58,22,22,50,57,18,10,58,0,9,3,2,1,64,64,62,62,62,62,29,28,50,63,24,13,60,0,0,0,"ka",3
"147","e201",8,1,1,2,61,61,52,52,62,62,25,24,46,55,17,8,57,0,9,1,1,2,54,53,50,50,55,54,24,24,44,54,19,10,51,0,0,0,"ka",3
"148","e202",9,1,1,1,36,36,25,23,26,27,4,2,41,65,23,6,32,0,10,2,NA,1,31,30,24,23,27,31,9,5,29,25,5,3,26,0,1,0,"ka",3
"149","e203",9,1,1,1,55,54,44,44,64,62,25,25,48,57,18,9,56,0,9,1,1,1,58,57,55,55,66,64,30,30,50,63,24,13,59,0,0,0,"ka",3
"150","e204",9,1,1,2,40,39,28,28,40,39,11,10,33,51,14,3,36,0,10,1,1,2,39,38,33,33,32,34,11,9,34,36,9,5,33,0,1,0,"ka",3
"151","e205",8,2,1,1,49,49,39,37,41,41,12,11,39,42,9,5,42,0,9,NA,1,1,45,47,43,40,41,41,16,15,42,50,17,9,42,0,0,0,"ka",3
"152","e206",9,1,1,4,51,52,42,40,30,29,5,4,36,55,17,4,38,0,9,NA,2,2,50,50,47,46,42,44,18,16,32,33,8,4,40,0,0,0,"ka",3
"153","e207",8,1,2,1,60,60,51,51,64,62,25,25,46,58,19,8,57,0,9,1,1,1,53,52,49,49,62,61,28,28,48,61,23,12,55,0,0,0,"ka",3
"154","e208",8,3,2,2,51,50,40,40,56,54,20,20,41,52,15,6,49,0,9,3,1,2,51,50,47,47,45,44,18,18,40,45,14,8,45,0,0,0,"ka",3
"155","e209",9,1,NA,1,25,25,8,6,26,27,4,2,41,54,16,6,28,0,10,1,3,1,25,25,12,11,27,28,7,5,32,27,6,4,25,0,0,0,"ka",3
"156","e210",8,3,3,1,41,43,32,29,40,38,10,10,36,38,7,4,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ka",3
"157","e211",8,1,1,1,47,47,36,35,46,45,14,14,36,42,9,4,42,0,9,1,1,1,53,53,50,49,50,49,21,21,40,47,15,8,47,0,0,0,"ka",3
"158","e212",8,1,1,4,53,52,42,42,54,54,20,19,48,55,17,9,52,0,9,1,1,1,60,59,57,57,58,57,26,26,46,57,21,11,55,0,0,0,"ka",3
"159","e213",8,1,1,2,39,44,33,26,33,34,8,6,36,38,7,4,34,0,9,1,1,2,37,36,30,30,35,34,11,11,34,33,8,5,33,0,1,0,"ka",3
"160","e214",8,1,1,1,47,47,36,35,49,48,16,16,41,46,11,6,45,0,9,1,1,NA,49,49,45,45,47,45,19,19,40,47,15,8,45,0,0,0,"ka",3
"161","e215",8,3,3,2,44,44,33,32,45,43,13,13,39,42,9,5,42,0,9,3,3,2,42,41,36,36,42,41,16,16,36,40,11,6,39,0,0,0,"ka",3
"162","e216",8,2,1,2,54,56,46,43,36,38,10,8,36,68,25,4,41,0,9,2,2,2,41,42,37,35,38,39,15,13,32,33,8,4,35,0,0,0,"ka",3
"163","e217",9,1,1,2,55,55,45,45,56,54,20,20,46,52,15,8,53,0,9,1,1,2,51,51,48,47,57,55,25,25,46,57,21,11,51,0,0,0,"ka",3
"164","c216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,47,46,42,42,41,39,15,15,36,42,12,6,40,0,0,0,"ka",3
"165","c319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,2,2,51,51,48,47,52,50,22,22,42,49,16,9,48,0,0,0,"ka",3
"166","c320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,48,48,44,44,47,47,20,19,38,52,18,7,44,0,0,0,"ka",3
"167","d513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1,58,58,56,55,42,47,20,16,42,50,17,9,47,0,0,0,"ka",3
"168","d813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,2,1,50,50,47,46,60,59,27,27,42,54,19,9,51,0,0,0,"ka",3
"169","a418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ka",3
