"","pid","age_pre","migration_pre","language_pre","gender_pre","wv_cor_t_pre","wv_speed_t_pre","wv_sum_done_pre","wv_sum_score_pre","sv_cor_t_pre","sv_speed_t_pre","sv_sum_done_pre","sv_sum_score_pre","tv_cor_t_pre","tv_speed_t_pre","tv_sum_done_pre","tv_sum_score_pre","elfe_pre","ges_invalid_pre","age_post","migration_post","language_post","gender_post","wv_cor_t_post","wv_speed_t_post","wv_sum_done_post","wv_sum_score_post","sv_cor_t_post","sv_speed_t_post","sv_sum_done_post","sv_sum_score_post","tv_cor_t_post","tv_speed_t_post","tv_sum_done_post","tv_sum_score_post","elfe_post","ges_invalid_post","treat","treat_drop","Uni","klassenstufe"
"53","c302",7,3,3,2,42,41,30,30,45,43,13,13,39,42,9,5,41,0,8,3,3,2,43,42,37,37,47,45,19,19,42,49,16,9,43,0,0,0,"ka",3
"54","c303",9,1,2,1,43,43,32,31,33,34,8,6,39,40,8,5,37,0,10,2,2,1,42,41,36,36,39,42,17,14,40,45,14,8,39,0,1,0,"ka",3
"55","c304",8,2,2,1,59,58,49,49,58,59,23,21,48,58,19,9,56,0,9,2,2,1,47,46,42,42,62,61,28,28,46,67,26,11,52,0,0,0,"ka",3
"56","c305",9,1,1,2,58,57,48,48,53,51,18,18,43,49,13,7,51,0,9,1,1,2,62,62,60,60,55,54,24,24,44,54,19,10,54,0,0,0,"ka",3
"57","c306",8,1,1,2,50,49,39,39,49,48,16,16,43,47,12,7,47,0,9,1,1,2,53,53,50,49,50,52,23,21,44,52,18,10,49,0,0,0,"ka",3
"58","c307",10,2,2,2,27,26,15,14,28,26,3,3,25,25,2,1,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"ka",3
"59","c308",8,2,3,2,38,36,25,25,46,46,15,14,36,44,10,4,39,0,9,3,3,2,51,51,48,47,45,47,20,18,40,52,18,8,45,0,0,0,"ka",3
"60","c309",8,1,2,1,55,55,45,45,64,62,25,25,46,52,15,8,56,0,8,1,2,1,48,47,43,43,53,52,23,23,42,52,18,9,47,0,0,0,"ka",3
"61","c310",8,3,3,2,52,51,41,41,53,54,20,18,46,51,14,8,50,0,9,3,3,2,60,62,60,58,58,61,28,26,44,59,22,10,54,0,0,0,"ka",3
"62","c311",9,3,2,1,57,57,48,47,56,54,20,20,50,55,17,10,55,0,9,3,2,1,61,61,59,59,66,64,30,30,48,61,23,12,59,0,0,0,"ka",3
"63","c312",8,3,2,2,37,35,24,24,36,34,8,8,36,35,6,4,35,0,9,2,2,2,48,48,44,44,39,38,14,14,36,49,16,6,40,0,1,0,"ka",3
"64","c313",9,1,1,2,51,52,42,40,54,53,19,19,48,55,17,9,51,0,10,1,1,2,49,50,46,45,62,61,28,28,48,61,23,12,53,0,0,0,"ka",3
"65","c314",8,3,2,2,39,38,27,26,46,45,14,14,43,47,12,7,42,0,9,3,3,2,48,47,43,43,52,50,22,22,42,50,17,9,47,0,0,0,"ka",3
"66","c315",8,2,2,2,62,62,53,53,64,62,25,25,48,57,18,9,59,0,9,2,2,2,55,56,54,52,60,59,27,27,50,61,23,13,56,0,0,0,"ka",3
"67","c316",8,1,1,1,53,52,42,42,61,61,24,23,50,55,17,10,55,0,9,1,1,1,57,56,54,54,58,57,26,26,44,54,19,10,53,0,0,0,"ka",3
"68","c317",9,3,2,2,45,44,33,33,40,39,11,10,39,38,7,5,40,0,10,3,2,2,48,48,44,44,48,47,20,20,40,47,15,8,45,0,0,0,"ka",3
"69","c318",9,3,2,2,50,49,39,39,46,48,16,14,46,46,11,8,47,0,10,3,3,2,44,43,39,39,45,45,19,18,42,50,17,9,43,0,0,0,"ka",3
"70","c321",8,1,NA,2,50,49,39,39,54,53,19,19,48,55,17,9,51,0,9,1,1,2,46,45,41,41,55,54,24,24,46,59,22,11,49,0,0,0,"ka",3
"71","c322",8,2,1,1,56,56,47,46,61,59,23,23,48,55,17,9,56,0,9,2,1,1,58,57,55,55,55,57,26,24,44,57,21,10,53,0,0,0,"ka",3
"72","d501",8,1,2,2,42,41,30,30,41,39,11,11,41,44,10,6,40,0,9,2,2,2,48,49,45,44,41,39,15,15,42,47,15,9,43,0,0,0,"ka",3
"73","d503",8,2,2,1,40,40,29,28,41,41,12,11,39,42,9,5,39,0,9,2,3,1,41,40,35,35,39,38,14,14,42,42,12,9,39,0,0,0,"ka",3
"74","d504",8,2,1,1,55,55,45,45,56,54,20,20,46,55,17,8,53,0,9,1,2,1,58,57,55,55,55,55,25,24,44,59,22,10,53,0,0,0,"ka",3
"75","d505",8,1,1,1,54,53,43,43,58,56,21,21,46,51,14,8,53,0,9,1,1,1,51,50,47,47,58,57,26,26,46,57,21,11,52,0,0,0,"ka",3
"76","d506",10,NA,2,1,44,48,38,32,45,51,18,13,33,51,14,3,39,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ka",3
"77","d507",9,1,1,1,60,61,52,51,62,61,24,24,50,55,17,10,58,0,9,1,1,1,60,60,58,57,55,55,25,24,46,61,23,11,54,0,0,0,"ka",3
"78","d508",8,1,2,2,36,34,23,23,36,36,9,8,41,44,10,6,36,0,9,1,1,2,48,49,45,44,48,49,21,20,40,50,17,8,45,0,1,0,"ka",3
"79","d509",9,1,1,2,52,53,43,41,46,45,14,14,30,42,9,2,42,0,9,1,1,2,56,56,53,53,48,49,21,20,36,50,17,6,46,0,0,0,"ka",3
"80","d510",8,1,1,2,35,35,24,22,33,31,6,6,41,46,11,6,35,0,9,2,2,2,46,46,42,41,39,38,14,14,34,38,10,5,38,0,1,0,"ka",3
"81","d511",8,3,3,1,37,36,25,24,41,41,12,11,41,42,9,6,38,0,9,3,2,1,41,41,36,35,44,44,18,17,42,47,15,9,41,0,1,0,"ka",3
"82","d512",10,2,2,1,25,25,14,12,26,38,10,2,30,57,18,2,25,0,10,2,NA,1,37,39,34,31,32,41,16,9,29,52,18,3,30,0,0,0,"ka",3
"83","d514",8,1,1,1,68,67,60,60,59,58,22,22,48,54,16,9,59,0,9,1,1,1,59,58,56,56,55,54,24,24,42,52,18,9,52,0,0,0,"ka",3
"84","d515",8,1,1,1,38,36,25,25,49,48,16,16,39,42,9,5,41,0,9,1,1,1,51,50,47,47,52,50,22,22,42,49,16,9,48,0,0,0,"ka",3
"85","d516",9,1,2,1,67,67,60,59,64,62,25,25,54,63,22,12,63,0,9,1,1,1,60,62,60,58,66,64,30,30,48,61,23,12,59,0,0,0,"ka",3
"86","d517",9,NA,3,NA,47,47,36,35,46,46,15,14,41,49,13,6,44,0,10,2,3,NA,54,54,51,50,47,49,21,19,34,61,23,5,44,0,0,0,"ka",3
"87","d518",8,2,2,2,49,53,43,38,48,46,15,15,43,47,12,7,46,0,9,2,2,2,55,56,53,52,58,59,27,26,40,50,17,8,51,0,0,0,"ka",3
"88","d519",9,3,2,1,46,47,36,34,35,38,10,7,39,47,12,5,39,0,10,3,2,1,41,44,40,35,36,38,14,12,40,52,18,8,38,0,0,0,"ka",3
"89","d520",8,2,1,2,63,62,54,54,64,62,25,25,48,55,17,9,59,0,9,2,2,2,62,62,60,60,64,62,29,29,50,67,26,13,60,0,0,0,"ka",3
"90","d521",8,2,1,1,57,57,48,47,58,58,22,21,50,55,17,10,56,0,8,2,1,1,67,66,65,65,66,64,30,30,50,63,24,13,62,0,0,0,"ka",3
